"X_5_digit_ntd_id","Agency","City","State","UPT","MILES","NTD ID","Mode","Agency Name","Bio-Diesel","Bunker Fuel","C Natural Gas","Diesel Fuel","Electric Battery","Electric Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified Nat Gas","Liquified Petroleum Gas","CO2_MWh","primary_source","electricity_price_MWh","generation_MWh","abbreviation","Diesel_Emissions","Gasoline_Emissions","CNG_Emissions","LPG_Emissions","Bunker_Emissions","Ethanol_Emissions","Electric_Emissions","Total_Emissions","Emissions_per_UPT","Emissions_per_Mile"
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Demand Response","King County",0,0,0,17880,0,0,0,0,940728,0,0,0,292568,292,"Hydroelectric",95.8,102960605,"WA",400512,18438268.8,0,3715613.6,0,0,0,22554394.4,0.285908170649688,0.0747997109758402
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Unknown","King County",208441,0,0,5591,0,0,0,0,0,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",125238.4,0,0,0,0,0,0,125238.4,0.00158757008519342,0.000415342392127215
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Motor Bus","King County",396458,0,0,7049403,2411807,0,0,0,126689,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",157906627.2,2483104.4,0,0,0,0,0,160389731.6,2.03316187255954,0.531918762898488
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Unknown","King County",0,0,0,0,0,2122439,0,0,0,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",0,0,0,0,0,0,619752188,619752188,7.85621689435481,2.0553548774976
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Trolleybus","King County",0,0,0,0,0,13113330,0,0,0,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",0,0,0,0,0,0,3829092360,3829092360,48.539046204508,12.6988557860723
1,"King County, dba: King County Metro","Seattle","WA",78886848,301530502,1,"Vanpool","King County",0,0,0,0,0,0,0,0,379932,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",0,7446667.2,0,0,0,0,0,7446667.2,0.0943968150432376,0.0246962318923211
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,2,"Demand Response","Spokane Transit Authority",0,0,0,131642,0,0,0,0,152360,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",2948780.8,2986256,0,0,0,0,0,5935036.8,0.631135849261661,0.128136353679533
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,2,"Motor Bus","Spokane Transit Authority",0,0,0,1335531,1202138,0,0,0,0,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",29915894.4,0,0,0,0,0,0,29915894.4,3.18127655393243,0.6458786616922
2,"Spokane Transit Authority","Spokane","WA",9403739,46318134,2,"Vanpool","Spokane Transit Authority",0,0,0,0,0,0,0,0,56463,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",0,1106674.8,0,0,0,0,0,1106674.8,0.117684550794104,0.0238929055302616
3,"Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Lakewood","WA",6792245,40362320,3,"Demand Response","Pierce County Transportation Benefit Area Authority",0,0,16539,0,0,0,0,0,319560,0,0,0,0,292,"Hydroelectric",95.8,102960605,"WA",0,6263376,193506.3,0,0,0,0,6456882.3,0.950625647337515,0.15997302186792
